"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"ATS","pct_deviation",0,0,0,0,0,0,0,0
"DFD","pct_deviation",0.00366,0.01659,0.03914,0.10429,0.38001,0.61751,0.6957,0.746
"DFDX","pct_deviation",0.00131,0.01016,0.02677,0.0777,0.30067,0.49015,0.54799,0.59084
"DPFD","pct_deviation",0.00483,0.02173,0.05131,0.13595,0.48596,0.78463,0.87415,0.93246
"G","pct_deviation",0,0.00011,-0.00027,0.00088,0.01572,0.04695,0.06765,0.08718
"GC","pct_deviation",0,8e-05,-0.00019,0.00064,0.01256,0.0388,0.05904,0.07888
"GI","pct_deviation",0,2e-04,-0.00053,0.00167,0.02741,0.07555,0.09993,0.12283
"GNE","pct_deviation",0.00365,0.01664,0.03908,0.10384,0.37707,0.61717,0.69803,0.74482
"HCOE","pct_deviation",0.00514,0.01416,0.02574,0.05999,0.20465,0.40527,0.53599,0.601
"HDY","pct_deviation",0.00531,0.04614,0.10007,0.22128,0.48626,0.78037,1.02836,1.14644
"HNW","pct_deviation",-0.00278,0.00034,0.00634,0.02633,0.07967,-0.01798,-0.266,-0.31469
"HOY","pct_deviation",0.0057,0.12698,0.28836,0.61854,1.26605,1.74795,2.25248,2.44711
"IAD","pct_deviation",0.00578,0.03131,0.07349,0.17225,0.53394,0.86388,0.97927,1.00335
"IB","pct_deviation",0.02486,0.11669,0.26592,0.60297,1.7989,2.83997,3.15353,3.12373
"IBCR","pct_deviation",-0.02414,-0.06566,-0.11553,-0.17526,0.26409,1.15353,0.97762,0.42558
"IBCTR","pct_deviation",0,0,0,0,0,0,0,0
"IBN","pct_deviation",0,0.00752,0.02237,0.07136,0.22539,0.30069,0.11515,-0.13888
"IBNDR","pct_deviation",0,0,0,0,0,0,0,0
"IBNDRA","pct_deviation",0,0,0,0,0,0,0,0
"IBRE","pct_deviation",0.0806,0.35477,0.72539,1.64085,3.5071,5.21292,6.63252,7.77685
"IBREDR","pct_deviation",0,0,0,0,0,0,0,0
"ID","pct_deviation",0,-0.00064,-4e-04,0.01325,0.06965,-0.15477,-0.43468,-0.24089
"IDDR","pct_deviation",0,0,0,0,0,0,0,0
"KIBN","pct_deviation",0,0.00012,0.00044,0.00223,0.01165,0.027,0.03477,0.02886
"KIBRE","pct_deviation",0.00286,0.01561,0.04349,0.1489,0.68374,1.53051,2.33857,3.00338
"KID","pct_deviation",0,-1e-05,-1e-05,0.00019,0.00266,0.00078,-0.01563,-0.03179
"KIDC","pct_deviation",0,0,0,0,0,0,0,0
"KV","pct_deviation",0,0,0,0,0.00033,0.00163,0.00346,0.00524
"LE","pct_deviation",-0.00095,-0.00385,-0.00793,-0.01484,0.00561,0.06952,0.08149,0.05901
"LF","pct_deviation",-0.00108,-0.00368,-0.00722,-0.01482,-0.02487,-0.01304,0.00329,0.00398
"LHPP","pct_deviation",0,0,0,0,0,0,0,0
"LOKLAG","pct_deviation",0,0,0,0,0,0,0,0
"LPOP","pct_deviation",0,0,0,0,0,0,0,0
"LPR","pct_deviation",-0.00108,-0.00368,-0.00722,-0.01482,-0.02487,-0.01304,0.00329,0.00398
"LUR","ppt_deviation",-0.00012,0.00016,0.00068,1e-05,-0.02892,-0.07805,-0.07358,-0.05162
"LURGAP","pct_deviation",2.66367,-6.89302,-0.48497,-0.00559,-19.0817,-13.53393,-6.78289,-3.47186
"M","pct_deviation",0.00161,0.07695,0.16028,0.34761,0.89656,1.48443,1.93463,2.15157
"N10R","pct_deviation",0.00013,-5e-04,-0.00339,-0.01875,-0.02822,0.15208,0.25515,0.30636
"N2R","pct_deviation",0.00047,-0.00181,-0.01219,-0.06487,-0.0843,0.57379,1.0035,0.87257
"NATS","pct_deviation",0,0,0,0,0,0,0,0
"NBR","pct_deviation",0.00287,-0.01318,-0.06128,-0.20383,0.06768,1.38879,0.75233,-0.82023
"NBRSP","pct_deviation",-0.00032,0.00018,0.00205,0.00331,-0.1428,-0.66276,-1.06842,-1.24086
"NC","pct_deviation",-0.00532,-0.011,-0.01385,-0.00966,0.03839,0.12881,0.20501,0.27824
"NCR","ppt_deviation",2e-04,-0.00094,-0.00446,-0.01526,0.00846,0.09315,0.0615,-0.01103
"NDFD","pct_deviation",-0.0052,-0.00206,0.01029,0.04831,0.2702,0.46276,0.4937,0.4846
"NDPFD","pct_deviation",-0.00429,0.00192,0.02073,0.07682,0.37393,0.63085,0.67315,0.66909
"NG","pct_deviation",-0.00803,-0.0147,-0.02312,-0.04341,-0.08379,-0.10816,-0.13847,-0.16687
"NGNE","pct_deviation",-0.00521,-0.00202,0.01028,0.04802,0.26771,0.46332,0.49613,0.48307
"NHA","pct_deviation",-0.00027,-0.00035,0.00028,0.00557,0.01833,-0.1144,-0.38935,-0.51202
"NHC","pct_deviation",0,-6e-05,0.00024,0.00458,0.01891,-0.06811,-0.29725,-0.53489
"NHCOE","pct_deviation",-0.00095,0.00091,0.0047,0.01819,0.10761,0.25178,0.33071,0.34696
"NHDY","pct_deviation",-0.00078,0.0329,0.07902,0.17941,0.38896,0.6263,0.82207,0.89103
"NHFA","pct_deviation",-7e-04,-0.00067,0.00087,0.00869,0.06975,0.18331,0.28461,0.3492
"NHL","pct_deviation",0.03421,0.04793,0.05805,0.0847,0.14369,0.09524,-0.08294,-0.29624
"NHNFA","pct_deviation",0,-0.00015,-0.00011,0.00349,-0.01721,-0.33835,-0.88752,-1.15718
"NHNW","pct_deviation",-0.00887,-0.0129,-0.0147,-0.01546,-0.01724,-0.17083,-0.46964,-0.56642
"NHOY","pct_deviation",-0.00039,0.11372,0.26726,0.5765,1.16799,1.5924,2.04369,2.18841
"NHS","pct_deviation",0.05471,0.72912,1.34403,2.23754,4.97469,7.04307,9.09814,9.57113
"NHSR","pct_deviation",0.05558,0.69256,1.25577,2.03617,4.5282,6.31238,8.12206,8.50437
"NHWS","pct_deviation",-0.24095,-0.378,-0.4515,-0.60046,-0.85767,-0.92694,-0.98648,-0.86671
"NIB","pct_deviation",-0.00211,0.05425,0.16556,0.42449,1.54691,2.58383,2.85024,2.78686
"NIBN","pct_deviation",-0.03463,-0.06905,-0.10277,-0.14358,-0.0546,0.06488,-0.13841,-0.41667
"NIBRE","pct_deviation",0.07697,0.34523,0.70853,1.60412,3.41308,5.05585,6.41685,7.50555
"NID","pct_deviation",0,-0.00124,-0.00274,0.00237,0.01296,-0.29625,-0.67895,-0.58108
"NM","pct_deviation",-0.19978,-0.32993,-0.43469,-0.66694,-0.95513,-1.05035,-1.1402,-1.14024
"NMR","pct_deviation",0.00298,-0.01285,-0.06037,-0.19591,0.11495,1.44754,1.03838,-0.19167
"NOTC","pct_deviation",0,-0.00232,5e-04,0.03247,-0.05963,-0.79363,-1.21227,-0.87436
"NSD","pct_deviation",0,0,0,0,0,0,0,0
"NSP","pct_deviation",0,0,0,0,0,0,0,0
"NTWI","pct_deviation",0.28942,0.5143,0.7286,1.20536,2.10172,2.79683,3.32004,3.46006
"NULC","pct_deviation",-0.0022,0.00438,0.00458,-0.00294,-0.05799,-0.02956,0.05931,0.07645
