"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"ATS","pct_deviation",0,0,0,0,0,0,0,0
"DFD","pct_deviation",2e-05,-0.22179,-0.31857,-0.41926,-0.2125,-0.08677,-0.05582,-0.05001
"DFDX","pct_deviation",-0.00225,-0.19043,-0.27416,-0.36274,-0.18494,-0.0755,-0.04839,-0.04433
"DPFD","pct_deviation",3e-05,-0.29096,-0.41029,-0.53318,-0.26238,-0.10317,-0.06207,-0.05386
"G","pct_deviation",0,-0.00022,-0.0213,-0.04724,-0.04131,-0.03101,-0.034,-0.03649
"GC","pct_deviation",0,-0.00016,-0.01529,-0.03699,-0.03738,-0.03032,-0.03297,-0.03552
"GI","pct_deviation",0,-0.00041,-0.03976,-0.08073,-0.05585,-0.03346,-0.03785,-0.04068
"GNE","pct_deviation",2e-05,-0.22251,-0.31818,-0.41775,-0.21107,-0.08677,-0.05601,-0.04995
"HCOE","pct_deviation",0.00604,-0.01773,-0.08264,-0.22179,-0.28967,-0.19946,-0.13796,-0.1075
"HDY","pct_deviation",-0.56774,-0.2361,-0.07939,6e-04,-0.19037,-0.19597,-0.12274,-0.07668
"HNW","pct_deviation",0.00708,-0.475,-0.93632,-1.42971,-0.81681,-0.07368,0.09775,0.07844
"HOY","pct_deviation",-1.92852,-0.78797,-0.07115,0.5484,0.08459,-0.18696,-0.08489,-0.0032
"IAD","pct_deviation",-0.00314,-0.07887,-0.17084,-0.27632,-0.20651,-0.12275,-0.08446,-0.06399
"IB","pct_deviation",-0.00374,-0.20276,-0.4057,-0.66503,-0.46642,-0.27958,-0.17378,-0.10626
"IBCR","pct_deviation",8.52041,5.36795,2.8,-0.60797,-1.04487,0.20872,0.15613,-0.03638
"IBCTR","pct_deviation",0,0,0,0,0,0,0,0
"IBN","pct_deviation",0,-0.26905,-0.54754,-0.84268,-0.47673,-0.17954,-0.11313,-0.07445
"IBNDR","pct_deviation",0,0,0,0,0,0,0,0
"IBNDRA","pct_deviation",0,0,0,0,0,0,0,0
"IBRE","pct_deviation",-0.01211,-0.05819,-0.1381,-0.31819,-0.45523,-0.37307,-0.24322,-0.15164
"IBREDR","pct_deviation",0,0,0,0,0,0,0,0
"ID","pct_deviation",0,-0.83226,-1.50627,-2.43267,0.07999,0.63888,0.42279,0.23631
"IDDR","pct_deviation",0,0,0,0,0,0,0,0
"KIBN","pct_deviation",0,-0.00416,-0.01214,-0.03657,-0.07255,-0.08029,-0.08053,-0.07883
"KIBRE","pct_deviation",-0.00043,-0.00252,-0.00785,-0.02843,-0.1073,-0.17325,-0.1939,-0.19223
"KID","pct_deviation",0,-0.01014,-0.02862,-0.08204,-0.11344,-0.08366,-0.0567,-0.03943
"KIDC","pct_deviation",0,0,0,0,0,0,0,0
"KV","pct_deviation",0,0,-0.00025,-0.00127,-0.00363,-0.00471,-0.00508,-0.00528
"LE","pct_deviation",-0.0018,-0.03464,-0.09783,-0.20725,-0.21343,-0.12109,-0.06699,-0.04229
"LF","pct_deviation",-0.00154,-0.00926,-0.02605,-0.05153,-0.10006,-0.10315,-0.07272,-0.04525
"LHPP","pct_deviation",0,0,0,0,0,0,0,0
"LOKLAG","pct_deviation",0,0,0,0,0,0,0,0
"LPOP","pct_deviation",0,0,0,0,0,0,0,0
"LPR","pct_deviation",-0.00154,-0.00926,-0.02605,-0.05153,-0.10006,-0.10315,-0.07272,-0.04525
"LUR","ppt_deviation",0.00025,0.02404,0.06813,0.14806,0.10764,0.01697,-0.00539,-0.00278
"LURGAP","pct_deviation",-5.39109,-1011.38334,-48.8303,-67.64808,71.02483,2.9435,-0.49705,-0.18668
"M","pct_deviation",-0.00088,0.06292,0.08914,-0.00234,-0.10959,-0.11889,-0.11656,-0.09724
"N10R","pct_deviation",0.64648,1.01545,1.1487,0.90025,-0.07955,-0.37886,-0.27349,-0.33295
"N2R","pct_deviation",2.34517,3.58836,3.92745,2.75111,-0.72677,-1.598,-1.10689,-0.98694
"NATS","pct_deviation",0,0,0,0,0,0,0,0
"NBR","pct_deviation",14.99361,9.3253,4.93298,-1.39817,-3.27299,-0.87878,-0.08504,-0.2341
"NBRSP","pct_deviation",0.00066,0.06822,0.2469,0.83194,1.54209,1.07357,0.48591,0.20881
"NC","pct_deviation",-0.00693,-0.0959,-0.20106,-0.29793,-0.33644,-0.26419,-0.23428,-0.22744
"NCR","ppt_deviation",0.99959,0.6591,0.34817,-0.12648,-0.26689,-0.07536,-0.01552,-0.01409
"NDFD","pct_deviation",-0.01149,-0.22189,-0.33204,-0.45126,-0.28908,-0.20288,-0.19592,-0.19478
"NDPFD","pct_deviation",-0.01186,-0.28576,-0.42203,-0.56519,-0.33677,-0.21914,-0.20488,-0.20019
"NG","pct_deviation",-0.01034,-0.01913,-0.04414,-0.08473,-0.12633,-0.14766,-0.16437,-0.17568
"NGNE","pct_deviation",-0.01149,-0.22286,-0.33211,-0.45005,-0.28806,-0.20302,-0.19602,-0.19456
"NHA","pct_deviation",-6e-04,-0.4606,-0.86521,-1.30842,-0.8602,-0.27253,-0.11433,-0.1095
"NHC","pct_deviation",0,-0.30001,-0.514,-0.76302,-0.80746,-0.65172,-0.47094,-0.32454
"NHCOE","pct_deviation",-0.0018,-0.03466,-0.10468,-0.25735,-0.37212,-0.3154,-0.2684,-0.2469
"NHDY","pct_deviation",-0.57553,-0.25299,-0.10143,-0.03503,-0.2729,-0.31191,-0.25319,-0.21613
"NHFA","pct_deviation",-0.00154,-0.03084,-0.06237,-0.12879,-0.18971,-0.19667,-0.19622,-0.19609
"NHL","pct_deviation",4e-05,-0.34037,-0.50646,-0.71981,-0.72409,-0.57996,-0.42471,-0.30101
"NHNFA","pct_deviation",0,-0.73111,-1.38323,-2.09278,-1.3236,-0.32959,-0.0538,-0.04463
"NHNW","pct_deviation",-0.00076,-0.49185,-0.95817,-1.46483,-0.89882,-0.18977,-0.03299,-0.06123
"NHOY","pct_deviation",-1.93621,-0.80477,-0.09319,0.51258,0.00183,-0.30291,-0.21539,-0.14275
"NHS","pct_deviation",-8.46779,-2.96358,0.99787,2.51793,0.13009,-1.23106,-0.79212,-0.37288
"NHSR","pct_deviation",-7.88306,-2.69192,1.11099,2.55744,0.43108,-0.89183,-0.51551,-0.13473
